repo,baseline,rv,rv(x),races,hb,hb:pp,hb(x),races,hbepoch,hbepoch:pp,hbepoch(x),races,shb,shb:pp,shb(x),races,shbepoch,shbepoch:pp,shbepoch(x),races,fhb,fhb:pp,fhb(x),races,lockset,lockset:pp,lockset(x),races,goldilocks,goldilocks:pp,goldilocks(x),races,wcp,wcp:pp,wcp(x),races,syncp,syncp:pp,syncp(x),races
jghoman/haivvreo,47.1,FAIL,,0,TO,,1834.4,0,7563.3,1191.0,186.0,235,FAIL,,,0,TO,,1834.4,0,TO,,1834.4,0,7039.3,1043.5,171.7,1234,TO,,1834.4,158,FAIL,,,0,TO,,1834.4,0
coolstuffsoftware/owncloud-spring-boot-starter,98.1,638.6,6.5,1,56259.60,157.94,575.1,0,46166.06,137.12,472.0,0,46790.43,72.82,477.7,0,TO,,880.7,0,TO,,880.7,0,49832.21,104.57,509.0,34,FAIL,,,0,FAIL,,,0,FAIL,,,0
pagehelper/Mybatis-PageHelper,47.5,185.1,3.9,0,63801.81,4985.77,1448.2,0,57747.39,5710.17,1335.9,0,57475.86,5783.10,1331.8,0,58088.90,5849.60,1346.1,0,64564.75,6855.59,1503.6,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0
NovatecConsulting/BeanTest,42.9,FAIL,,0,TO,,2014.0,0,39017.91,3365.77,988.0,0,FAIL,,,0,FAIL,,,0,TO,,2014.0,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,TO,,2014.0,0
alexnederlof/Jasper-report-maven-plugin,14.1,1281.9,90.9,0,FAIL,,,0,77518.97,5347.85,5877.1,0,FAIL,,,0,TO,,6127.7,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,TO,,6127.7,0
Terracotta-OSS/ipc-eventbus,31.8,34.9,1.1,9,FAIL,,,0,34.0,12.8,1.5,0,FAIL,,,0,FAIL,,,0,34.4,0.8,1.1,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0
graphaware/recommendations-meetup,105.3,FAIL,,0,TO,,820.5,0,TO,,820.5,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0
bingo-oss/sso-client,32.9,41.0,1.2,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,939,FAIL,,,0,FAIL,,,0,TO,,2626.1,0
jitsi/otr4j,49.6,37.9,0.8,1,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,49,FAIL,,,0,FAIL,,,0
metamx/emitter,14.7,290.6,19.8,5,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,TO,,5877.6,0
mrpdaemon/encfs-java,24.50,FAIL,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0,FAIL,,,0
