repo,baseline,rv,rv(x),races,hb,hb:pp,hb(x),races,hbepoch,hbepoch:pp,hbepoch(x),races,shb,shb:pp,shb(x),races,shbepoch,shbepoch:pp,shbepoch(x),races,fhb,fhb:pp,fhb(x),races,lockset,lockset:pp,lockset(x),races,goldilocks,goldilocks:pp,goldilocks(x),races,wcp,wcp:pp,wcp(x),races,syncp,syncp:pp,syncp(x),races
spotify/hadoop-openpgp-codec,27.2,8.4,0.3,0,181.3,18.3,7.3,12,182.6,16.8,7.3,12,180.2,16.8,7.2,3,180.7,17.2,7.3,3,181.9,16.9,7.3,3,180.2,16.9,7.2,12,226.8,16.9,8.9,12,220.2,16.9,8.7,12,TO,,3176.5,0
InfoSec812/sonar-auth-google,18.5,12.9,0.7,0,160.7,10.1,9.2,14,163.3,10,9.4,13,164,10.1,9.4,4,168.9,10.4,9.7,4,166,10,9.5,4,162.6,10.1,9.3,39,252.9,10.2,14.2,13,FAIL,,,0,TO,,4670.3,0
jillesvangurp/spring-depend,18.3,11.8,0.6,15,234.6,16.6,13.8,13,234.2,16.3,13.7,14,253.5,17,14.8,12,257.4,17.5,15.1,12,245.6,15.6,14.3,12,235.1,17.3,13.8,233,3336.9,19.4,183.8,17,TO,,4721.3,0,TO,,4721.3,0
Ardesco/driver-binary-downloader-maven-plugin,20.1,26.1,1.3,2,429.9,31.4,23,184,413,31.4,22.1,104,422.5,32,22.6,9,435,32,23.3,9,456.9,31.5,24.3,9,428.2,31.9,22.9,438,TO,,4298.5,8,FAIL,,,0,TO,,4298.5,0
agapsys/embedded-servlet-container,6.9,11.8,1.7,0,498.7,33.1,77.4,118,501.6,34.1,78,92,503.3,32.9,78,6,503.1,32.9,78,6,615.5,37.1,95,6,508.2,33.5,78.8,296,TO,,12521.7,4,TO,,12521.7,0,FAIL,,,0
m-czernek/acrobot,34.4,38.7,1.1,8,518.3,48.5,16.5,40,526.1,49.1,16.7,34,540.4,50,17.2,21,513.4,48.4,16.3,19,639.9,48.9,20,18,520,48.3,16.5,213,FAIL,,,49,FAIL,,,0,TO,,2511.6,0
bingoohuang/westid,38.5,16.8,0.4,1,4139.1,474,119.9,81,4260.2,482.6,123.3,58,4215.7,476.9,122,13,4260.7,480.3,123.3,12,4158.4,474.1,120.4,13,4176.8,474,120.9,0,83541.40,251.85,2176.4,82,4179.6,493.2,121.5,0,TO,,2244.2,0
JavaMoney/jsr354-ri-bp,109.6,164.5,1.5,5,5403.2,420.6,53.2,10,5364.5,415.3,52.8,8,5129.2,426.2,50.7,3,5108.3,429.4,50.5,3,4868,417,48.2,3,5005.5,448,49.8,0,15978,43.4,146.2,5,2023.2,6.8,18.5,0,77120.11,48.41,704.1,0
buddycloud/buddycloud-server-java,31.8,66,2.1,1,8832.1,70,279.8,32,36134.19,539.15,1153.2,0,3808.2,36.4,120.8,2,6720.8,62.8,213.2,2,1557.8,27.7,49.8,2,15709.6,128,497.7,0,16109.3,3,506.4,8,146.5,3.2,4.7,0,10620.8,2.9,333.9,0
proofpoint/event-collector,13.8,86.8,6.3,1,5139.3,1000.7,446.2,0,5036.3,1021.6,440.3,4,5130.8,993.8,445.1,0,5155.7,1001.2,447.4,0,68728.27,155.66,4991.6,0,695.6,134.7,60.3,12,TO,,6260.9,4,1139.14,61.82,87.0,0,TO,,6260.9,0
