repo,alg,base_rt,base_mem,rt1,pp1,mem1,races1,rt2,pp2,mem2,races2,rt3,pp3,mem3,races3
jclawson/jackson-dataformat-hocon,wcp,2.31,258376,53.88,3.59,7640220,5,55.19,2.05,8406160,5,52.48,2.05,7190628,5
MountCloud/ffmpeg-operate,syncp,3.44,269388,156.24,0.41,12944328,4,152.81,0.46,12945080,4,152.04,0.31,12954164,4
vbauer/herald,lockset,7.91,360996,FAIL,,,,FAIL,,,,FAIL,,,
sdorra/ldap-unit,goldilocks,2.83,350852,148.08,5.45,2814132,4,149.56,6.44,3100584,4,151.49,5.60,2885612,4
j-easy/easy-flows,goldilocks,3.08,325488,115.93,3.97,6516924,1,112.10,3.97,5667164,1,110.04,3.94,5830584,1
vbauer/herald,fhb,7.93,363388,FAIL,,,,FAIL,,,,FAIL,,,
buddycloud/buddycloud-server-java,hb,6.92,631712,81.66,7.50,1052908,0,84.34,7.25,1045636,3,81.71,7.07,1051872,0
vbauer/herald,shbepoch,7.91,362144,FAIL,,,,FAIL,,,,FAIL,,,
InfoSec812/sonar-auth-google,lockset,3.09,411240,FAIL,,,,FAIL,,,,FAIL,,,
NetsOSS/embedded-jetty,shbepoch,6.75,389716,FAIL,,,,FAIL,,,,FAIL,,,
buddycloud/buddycloud-server-java,shbepoch,17.51,609328,93.68,17.23,1060712,0,97.50,15.69,1049300,1,92.96,15.63,1048268,0
dubasdey/portable-ftp-server,syncp,1.73,270444,147.42,0.24,12476344,0,151.24,0.18,12423248,0,158.73,0.18,12460636,0
PhantomThief/thrift-pool-client,syncp,1.84,345112,278.33,0.26,16050440,0,272.17,0.29,15657908,0,275.93,0.42,16004264,0
NetsOSS/embedded-jetty,lockset,2.75,411700,FAIL,,,,FAIL,,,,FAIL,,,
buddycloud/buddycloud-server-java,fhb,17.31,638756,116.42,7.19,1166136,0,116.60,7.07,1175132,0,115.49,7.38,1154896,1
InfoSec812/sonar-auth-google,hb,3.26,368908,FAIL,,,,FAIL,,,,FAIL,,,
NetsOSS/embedded-jetty,fhb,5.18,393864,FAIL,,,,FAIL,,,,FAIL,,,
sdorra/ldap-unit,wcp,2.66,350672,176.60,5.25,19193244,6,189.70,5.20,17795644,5,200.36,5.17,17855216,6
jalpedersen/jetty-hazelcast,hbepoch,7.99,259680,237.50,32.67,3599396,82,259.06,32.71,3664084,59,237.86,31.69,3838072,54
j-easy/easy-flows,wcp,2.67,303060,175.95,5.71,32556412,1,145.89,3.04,32412824,1,140.62,3.04,32504796,1
jalpedersen/jetty-hazelcast,hb,27.96,305408,266.14,34.29,3902536,46,234.46,31.78,3786700,51,230.54,31.33,3845924,67
NetsOSS/embedded-jetty,hbepoch,5.12,369256,FAIL,,,,FAIL,,,,FAIL,,,
InfoSec812/sonar-auth-google,hbepoch,3.39,428632,FAIL,,,,FAIL,,,,FAIL,,,
agapsys/embedded-servlet-container,shb,2.28,279108,219.27,16.50,11445440,6,215.90,16.67,11529416,6,217.39,16.47,11496124,15
InfoSec812/sonar-auth-google,shb,3.31,419808,FAIL,,,,FAIL,,,,FAIL,,,
buddycloud/buddycloud-server-java,shb,7.39,639272,129.43,8.27,1077908,0,130.36,8.26,1064420,0,129.58,8.05,1068504,1
InfoSec812/sonar-auth-google,shbepoch,3.33,355360,FAIL,,,,FAIL,,,,FAIL,,,
InfoSec812/sonar-auth-google,fhb,3.29,410684,FAIL,,,,FAIL,,,,FAIL,,,
dyorgio/cpu-watcher,hb,84.79,593252,185.89,19.87,1127260,4,191.03,25.00,1235164,4,185.40,18.77,1104900,4
NetsOSS/embedded-jetty,hb,4.89,408704,FAIL,,,,FAIL,,,,FAIL,,,
javadelight/delight-fileupload,syncp,2.65,465400,161.84,0.77,12277256,0,202.72,0.32,12170804,0,150.94,0.35,12253676,0
buddycloud/buddycloud-server-java,lockset,17.40,638952,141.40,16.78,1047748,0,143.77,16.41,1053676,0,140.19,16.56,1048088,0
kevinsawicki/http-request,hbepoch,3.15,383392,FAIL,,,,FAIL,,,,FAIL,,,
buddycloud/channel-directory,hb,3.24,276428,FAIL,,,,FAIL,,,,FAIL,,,
InfoSec812/sonar-auth-google,goldilocks,3.66,374784,FAIL,,,,FAIL,,,,FAIL,,,
NetsOSS/embedded-jetty,shb,5.28,408416,FAIL,,,,FAIL,,,,FAIL,,,
buddycloud/buddycloud-server-java,goldilocks,11.11,599080,234.71,11.54,1201196,8,191.14,11.22,1209984,3,202.48,11.83,1201236,3
vbauer/herald,shb,4.73,334104,FAIL,,,,FAIL,,,,FAIL,,,
vbauer/herald,hb,8.01,358984,FAIL,,,,FAIL,,,,FAIL,,,
kevinsawicki/http-request,hb,3.31,384112,FAIL,,,,FAIL,,,,FAIL,,,
kevinsawicki/http-request,lockset,3.59,376776,FAIL,,,,FAIL,,,,FAIL,,,
520github/fw-perf-test,lockset,1.59,270092,382.32,44.06,729788,44,382.15,43.93,728180,44,384.26,43.88,750812,44
m-czernek/acrobot,hb,13.11,568732,398.75,42.05,13080644,33,421.27,41.76,13096228,35,419.78,42.07,13076836,37
dyorgio/cpu-watcher,fhb,84.96,533876,252.73,36.08,7269236,3,372.98,48.61,9432644,5,358.66,41.57,7427196,4
zhanyeye/DesSim,fhb,2.75,308660,391.36,60.28,700296,11,381.75,59.19,722096,10,388.89,62.38,720036,39
agapsys/embedded-servlet-container,lockset,2.69,270764,405.55,24.14,2656824,250,411.39,23.73,1443264,247,412.54,24.00,6770704,250
520github/fw-perf-test,wcp,1.86,267280,456.65,46.26,14274520,24,452.99,45.87,14211728,24,471.24,46.83,14264592,19
agapsys/embedded-servlet-container,shbepoch,2.58,247832,427.86,23.51,11285916,15,438.03,23.69,11243624,6,421.95,24.12,11260716,6
agapsys/embedded-servlet-container,hbepoch,2.33,236544,437.66,29.63,5366196,97,413.97,32.18,1618312,79,425.35,30.42,2952440,79
agapsys/embedded-servlet-container,hb,2.92,245760,435.11,29.72,4693412,126,424.33,32.27,3046964,135,420.03,30.19,3001716,115
520github/fw-perf-test,fhb,1.99,265312,504.40,44.39,932236,4,490.78,44.13,939016,4,502.17,43.44,907016,4
buddycloud/channel-directory,hbepoch,3.91,301576,FAIL,,,,FAIL,,,,FAIL,,,
zhanyeye/DesSim,hbepoch,3.80,326744,458.62,66.60,674644,66,451.45,59.48,681576,48,453.65,62.41,689372,64
kevinsawicki/http-request,shbepoch,2.80,345756,FAIL,,,,FAIL,,,,FAIL,,,
buddycloud/channel-directory,shb,3.96,294224,FAIL,,,,FAIL,,,,FAIL,,,
kevinsawicki/http-request,shb,3.36,380540,FAIL,,,,FAIL,,,,FAIL,,,
dyorgio/cpu-watcher,lockset,86.30,597464,380.42,57.01,4655204,13,381.26,53.38,4654928,13,FAIL,,,
buddycloud/channel-directory,lockset,2.66,296632,FAIL,,,,FAIL,,,,FAIL,,,
520github/fw-perf-test,shb,1.87,258940,568.95,48.61,696172,4,564.74,48.83,692348,2,566.42,48.60,702768,2
m-czernek/acrobot,fhb,13.33,536412,620.59,46.15,26013056,19,590.21,45.98,26212096,14,567.91,46.26,25421764,19
m-czernek/acrobot,shbepoch,13.48,544404,586.11,58.28,12235116,22,605.22,58.70,12321928,18,611.21,58.27,12415508,17
buddycloud/channel-directory,fhb,2.64,292112,FAIL,,,,FAIL,,,,FAIL,,,
NetsOSS/embedded-jetty,goldilocks,4.93,395028,FAIL,,,,FAIL,,,,FAIL,,,
dyorgio/cpu-watcher,shb,84.91,554008,461.58,109.16,2750504,3,FAIL,,,,FAIL,,,
dyorgio/cpu-watcher,shbepoch,85.22,569684,FAIL,,,,FAIL,,,,FAIL,,,
buddycloud/buddycloud-server-java,wcp,7.87,625332,1256.33,8.25,1262548,0,192.29,8.39,1263048,0,190.77,8.40,1250052,0
zhanyeye/DesSim,lockset,2.66,306476,474.67,252.21,1045440,390,468.67,237.26,924092,382,470.66,212.08,890040,384
buddycloud/channel-directory,shbepoch,3.31,301624,FAIL,,,,FAIL,,,,FAIL,,,
zhanyeye/DesSim,goldilocks,2.80,273260,567.38,151.96,677496,117,592.48,186.37,676720,106,542.73,87.40,680592,93
agapsys/embedded-servlet-container,fhb,2.39,275376,700.20,60.38,24876408,13,611.02,55.50,23611068,13,646.58,55.01,24155392,13
m-czernek/acrobot,hbepoch,13.20,466776,531.44,78.78,11070408,35,518.21,82.88,11034252,36,1129.31,74.79,7070816,41
520github/fw-perf-test,shbepoch,2.51,262356,767.60,64.24,709096,3,753.15,64.49,724096,2,754.90,64.75,704772,2
m-czernek/acrobot,lockset,14.33,521152,840.98,66.13,11388140,346,836.82,65.19,11353468,345,860.35,66.87,11420396,347
kevinsawicki/http-request,fhb,5.74,385292,FAIL,,,,FAIL,,,,FAIL,,,
jalpedersen/jetty-hazelcast,goldilocks,3.23,227328,921.95,13.92,16172136,50,1040.73,14.52,16669392,50,822.32,12.24,15840648,36
m-czernek/acrobot,shb,13.28,513488,836.57,60.67,12471056,19,1131.47,60.48,12359224,20,817.91,60.28,12396176,19
520github/fw-perf-test,hb,2.48,239616,961.82,86.18,683772,14,983.73,86.66,674872,11,869.01,81.40,679456,11
majusko/grpc-jwt-spring-boot-starter,hbepoch,7.14,380640,812.86,58.76,3485368,2,816.18,58.95,3192976,2,818.70,59.35,3033376,2
520github/fw-perf-test,hbepoch,2.96,268964,1083.79,127.54,690420,11,1084.31,125.76,693868,11,1078.83,126.00,672232,11
majusko/grpc-jwt-spring-boot-starter,hb,7.62,432156,976.45,68.22,4392072,2,995.93,67.61,5843412,2,989.87,68.67,4676076,2
majusko/grpc-jwt-spring-boot-starter,fhb,21.04,415832,1038.00,69.06,12165812,1,1004.84,68.72,12295920,1,1018.40,68.78,12691824,1
dyorgio/cpu-watcher,hbepoch,85.87,536860,FAIL,,,,FAIL,,,,FAIL,,,
dyorgio/cpu-watcher,goldilocks,85.35,543308,1634.03,48.94,1738876,5,1922.48,55.72,2081148,4,1630.20,50.06,1851440,4
majusko/grpc-jwt-spring-boot-starter,shb,10.44,427688,1589.52,97.70,2788892,2,1647.23,97.66,2139144,2,1658.40,99.53,2284940,2
bingoohuang/westid,wcp,2.84,307040,FAIL,,,,FAIL,,,,FAIL,,,
bingoohuang/westid,hb,3.93,309724,FAIL,,,,FAIL,,,,FAIL,,,
bingoohuang/westid,lockset,3.20,279552,FAIL,,,,FAIL,,,,3870.00,402.63,1142884,536
vbauer/herald,goldilocks,4.57,336256,FAIL,,,,FAIL,,,,FAIL,,,
bingoohuang/westid,fhb,2.45,284944,FAIL,,,,FAIL,,,,4145.00,461.22,818428,1
xebia-france/xebia-servlet-extras,shbepoch,6.52,266000,FAIL,,,,24.17,2.02,1318352,7,22.28,1.99,1339080,7
xebia-france/xebia-servlet-extras,hb,7.15,267264,46.64,8.77,783816,178,26.92,5.66,923012,178,FAIL,,,
bingoohuang/westid,hbepoch,4.19,266116,5435.87,727.87,3790932,1,5440.57,730.58,3773436,1,5585.09,742.37,3482712,74
buddycloud/buddycloud-server-java,syncp,8.11,625944,8264.17,22.11,1263208,0,8251.58,33.01,1267012,0,8316.62,22.71,1286904,0
520github/fw-perf-test,goldilocks,1.97,239616,7872.86,76.76,2525280,11,8517.18,77.31,2401004,11,8924.26,79.59,2497244,11
zhanyeye/DesSim,wcp,7.25,282212,FAIL,,,,52.86,8.14,1157484,58,FAIL,,,
dyorgio/cpu-watcher,wcp,84.43,540504,FAIL,,,,FAIL,,,,FAIL,,,
zhanyeye/DesSim,shb,29.91,313008,27.66,9.17,686888,74,FAIL,,,,FAIL,,,
