repo,alg,base_rt,base_mem,rt1,pp1,mem1,races1,rt2,pp2,mem2,races2,rt3,pp3,mem3,races3
VaughnVernon/mockroservices-java,wcp,4.43,268948,20.18,1.35,2000104,9,20.52,1.36,1985208,9,19.92,1.38,1995512,9
VaughnVernon/mockroservices-java,shb,5.65,298920,22.24,1.44,671276,5,22.02,1.39,674200,5,22.18,1.53,687180,5
Azure-Samples/cassandra-proxy,shb,10.95,309088,50.03,7.59,1409104,2,39.88,2.35,1405424,2,40.24,2.47,1400996,2
zhanyeye/DesSim,hb,16.85,256644,49.12,5.03,663580,99,FAIL,,,,FAIL,,,
mikebrock/jboss-websockets,syncp,34.11,580644,99.43,0.18,11352832,0,85.00,0.38,11455408,0,108.75,0.70,11348032,0
ihaolin/wechat,fhb,3.62,267880,8.51,0.53,528656,2,8.53,0.22,519832,2,12.14,0.40,544148,2
ihaolin/wechat,hbepoch,3.57,239216,8.34,1.00,513024,10,8.19,0.25,510000,10,12.65,0.35,503404,10
ihaolin/wechat,hb,3.63,239616,8.90,0.44,516144,15,8.26,0.29,510000,15,12.63,0.30,516140,15
ihaolin/wechat,shbepoch,3.57,236544,8.35,1.00,506196,2,8.28,0.22,525344,2,12.55,0.41,506652,2
ihaolin/wechat,shb,3.52,245760,8.44,0.89,513072,2,8.33,0.27,516144,2,12.81,0.21,503856,2
mikebrock/jboss-websockets,hb,33.82,572584,45.01,80.50,696116,13,44.77,6.63,729920,13,37.46,90.57,719572,13
ihaolin/wechat,lockset,3.61,266084,8.85,0.46,543000,17,9.31,0.59,533824,17,12.43,1.02,538404,17
jalpedersen/jetty-hazelcast,shbepoch,9.62,257056,80.31,7.66,5645416,7,89.11,5.88,5599292,7,81.72,6.15,5533336,7
ihaolin/wechat,wcp,3.57,264496,9.07,0.38,552256,15,10.20,0.31,549268,15,10.64,0.23,543076,15
ihaolin/wechat,goldilocks,4.92,271220,15.55,1.17,553700,10,16.05,0.69,556180,10,15.32,0.40,533728,10
Azure-Samples/cassandra-proxy,lockset,10.97,279552,65.95,3.78,715064,27,56.04,4.16,708400,27,58.23,4.10,692740,27
Azure-Samples/cassandra-proxy,fhb,10.94,279552,66.44,3.78,747856,2,56.76,3.74,766076,2,57.74,3.86,759576,2
ihaolin/wechat,syncp,4.81,267632,17.42,0.74,786044,2,16.84,1.10,793304,2,14.81,0.66,813444,2
VaughnVernon/mockroservices-java,goldilocks,6.82,262348,35.87,2.77,441236,10,36.22,2.52,422520,10,42.64,2.91,441108,10
offbynull/portmapper,hb,7.66,363272,FAIL,,,,FAIL,,,,FAIL,,,
offbynull/portmapper,wcp,7.72,375504,FAIL,,,,FAIL,,,,FAIL,,,
rovats/java-utils,shbepoch,2.67,260248,7.90,1.11,389480,1,7.87,0.25,395012,1,8.87,0.25,400512,1
rovats/java-utils,lockset,2.25,227328,8.17,0.47,365596,2,6.10,0.21,377904,2,5.52,0.23,374792,2
rovats/java-utils,shb,3.19,264220,12.35,0.43,393036,1,9.06,0.43,388960,1,6.79,0.27,392648,1
rovats/java-utils,goldilocks,2.26,242688,8.30,0.34,387072,2,6.23,0.22,387112,2,5.63,0.20,371712,2
rovats/java-utils,fhb,3.43,258976,12.93,0.27,385920,1,9.84,0.21,383504,1,6.36,0.20,375612,1
rovats/java-utils,wcp,2.54,257564,6.72,0.21,405716,2,7.52,0.21,398216,2,6.34,0.22,391472,2
rovats/java-utils,hb,4.28,261956,16.34,0.56,394868,1,9.35,0.29,402868,1,8.36,0.24,386432,1
Azure-Samples/cassandra-proxy,goldilocks,10.98,261120,75.43,3.73,1223044,2,65.06,3.99,1260080,2,70.04,3.75,1251824,2
rovats/java-utils,hbepoch,4.64,271204,16.68,0.38,401200,1,10.23,0.29,418660,1,8.69,0.28,405932,1
mikebrock/jboss-websockets,wcp,33.85,578824,49.55,32.87,1366112,13,41.38,104.62,1371832,13,41.47,102.63,1346160,13
offbynull/portmapper,shb,7.72,370284,FAIL,,,,FAIL,,,,FAIL,,,
Azure-Samples/cassandra-proxy,hb,10.87,308880,82.30,3.22,716004,2,65.96,3.35,715752,2,72.59,3.23,722416,2
Azure-Samples/cassandra-proxy,hbepoch,10.98,290000,84.23,3.19,721076,2,65.93,3.47,731700,2,71.74,3.14,712616,2
MountCloud/ffmpeg-operate,shb,3.11,266540,8.95,0.31,644612,14,8.83,0.31,650576,14,9.23,0.29,640556,14
MountCloud/ffmpeg-operate,fhb,3.14,303844,7.97,0.26,656384,14,8.15,0.29,644148,14,8.06,0.60,626060,14
MountCloud/ffmpeg-operate,shbepoch,3.32,267772,9.71,0.39,656048,14,9.65,0.40,662504,14,9.94,0.71,657624,14
MountCloud/ffmpeg-operate,lockset,2.93,230400,8.15,0.41,617232,73,8.05,0.43,626716,73,8.34,0.44,614428,73
MountCloud/ffmpeg-operate,hb,3.66,260076,12.05,0.42,642560,14,11.51,0.44,652972,14,11.69,0.41,669944,14
MountCloud/ffmpeg-operate,hbepoch,3.75,262280,11.96,0.48,636752,14,11.43,0.52,649840,14,12.00,0.41,656640,14
MountCloud/ffmpeg-operate,goldilocks,2.99,256688,8.98,0.28,634576,17,9.05,0.30,640724,17,10.48,0.47,641592,17
MountCloud/ffmpeg-operate,wcp,2.91,227328,8.26,0.32,635904,14,8.19,0.51,623644,14,8.40,0.43,642076,14
520github/fw-parallel-task,wcp,32.13,239616,36.80,1.81,434924,9,40.26,0.25,449656,9,35.37,0.24,444144,9
520github/fw-parallel-task,hbepoch,32.08,245760,36.77,1.84,437892,9,40.46,0.24,447776,9,35.47,0.25,450128,9
520github/fw-parallel-task,shb,32.24,262820,39.27,2.96,453460,5,39.16,0.30,453768,5,37.42,0.64,439988,5
520github/fw-parallel-task,goldilocks,33.13,268460,40.42,1.72,451508,9,41.86,0.31,461980,9,38.60,0.66,452328,9
520github/fw-parallel-task,syncp,32.11,245764,41.05,1.53,1800116,3,40.75,0.23,1802116,3,39.67,0.49,1805916,3
520github/fw-parallel-task,fhb,32.17,268420,40.28,2.69,475404,5,41.90,0.32,453732,5,37.91,0.81,457876,5
520github/fw-parallel-task,shbepoch,32.22,261524,40.98,2.00,487712,5,42.03,0.30,461660,5,37.96,0.69,457128,5
520github/fw-parallel-task,lockset,33.12,265220,42.48,1.50,472816,11,44.25,0.36,457720,11,39.87,0.48,458240,11
520github/fw-parallel-task,hb,32.11,242688,36.79,1.95,434800,9,40.25,0.24,448540,9,35.43,0.28,440088,9
opentracing-contrib/java-concurrent,shbepoch,6.43,274588,10.46,0.18,499768,0,8.94,0.20,509424,0,8.86,0.21,499488,0
opentracing-contrib/java-concurrent,hb,10.43,224256,12.96,0.23,466992,0,9.23,0.22,479260,0,9.16,0.24,473116,0
opentracing-contrib/java-concurrent,hbepoch,11.01,242936,13.14,0.24,486080,0,9.43,0.22,492292,0,9.20,0.24,502484,0
opentracing-contrib/java-concurrent,shb,10.93,251384,14.00,0.28,522020,0,10.53,0.26,502632,0,10.49,0.27,500324,0
Azure-Samples/cassandra-proxy,shbepoch,10.90,283868,100.93,7.91,1378444,2,87.90,8.21,1290964,2,88.72,7.95,1377132,2
opentracing-contrib/java-concurrent,fhb,6.49,267300,12.25,0.29,516160,0,11.78,0.36,512456,0,11.96,0.28,531036,0
opentracing-contrib/java-concurrent,lockset,6.24,277432,12.19,0.37,507776,16,11.89,0.42,475428,16,11.95,0.41,493760,16
opentracing-contrib/java-concurrent,goldilocks,4.16,265140,11.12,0.78,501988,0,10.86,0.25,512304,0,10.70,0.25,499744,0
opentracing-contrib/java-concurrent,wcp,4.15,272352,16.02,0.31,2260716,1,15.93,0.32,2236624,1,15.93,0.34,2234184,1
Azure-Samples/cassandra-proxy,wcp,10.93,292504,116.08,3.24,13683556,32,102.39,3.24,12006452,32,99.06,3.23,12026024,32
kurbatov/firmata4j,shbepoch,18.12,251412,9.91,0.23,479280,2,7.55,0.22,469348,2,7.67,0.21,460412,2
kurbatov/firmata4j,wcp,18.11,275356,10.27,0.23,505376,2,7.70,0.23,518568,2,8.14,0.23,517364,2
rovats/java-utils,syncp,3.38,268064,47.78,0.40,6330680,1,51.17,0.28,6296156,1,45.17,0.28,6332316,1
kurbatov/firmata4j,goldilocks,18.08,253064,10.70,0.18,470992,2,8.28,0.18,472492,2,8.82,0.18,471392,2
kurbatov/firmata4j,hbepoch,18.11,282228,11.14,0.22,489196,2,8.34,0.21,491076,2,8.65,0.21,494532,2
kurbatov/firmata4j,shb,18.10,276304,10.96,0.26,479944,2,8.61,0.23,489796,2,9.40,0.22,490168,2
kurbatov/firmata4j,fhb,18.13,282444,13.09,0.58,499372,2,10.95,0.29,498200,2,11.00,0.29,469656,2
kurbatov/firmata4j,lockset,18.13,286468,13.00,0.56,507624,7,11.06,0.27,491880,7,11.07,0.30,502988,7
kurbatov/firmata4j,hb,18.15,286380,13.56,0.29,497164,2,11.72,0.29,492816,2,12.08,0.30,493640,2
jiangxincode/SearchEngine,shb,2.90,248832,5.91,0.25,405544,2,5.62,0.19,402464,2,5.49,0.20,408604,2
jiangxincode/SearchEngine,goldilocks,2.92,245760,6.00,0.19,405532,5,5.65,0.19,411696,5,5.70,0.18,402472,7
jiangxincode/SearchEngine,wcp,2.78,245760,6.28,0.23,396288,4,5.82,0.20,402472,3,5.86,0.17,411648,2
jiangxincode/SearchEngine,hb,3.01,279840,6.85,0.24,427704,2,6.41,0.23,417504,3,6.23,0.22,434860,2
jiangxincode/SearchEngine,syncp,2.88,248836,7.10,0.23,758000,2,6.80,0.19,769648,1,7.64,0.21,850972,2
jiangxincode/SearchEngine,lockset,3.06,281344,8.71,0.35,437940,5,8.41,0.30,442964,5,8.23,0.30,441280,5
jiangxincode/SearchEngine,fhb,3.21,280808,8.78,0.36,413132,2,8.38,0.25,410004,2,8.68,0.25,410780,2
jiangxincode/SearchEngine,shbepoch,3.24,280868,9.06,0.28,438396,2,8.68,0.25,429608,2,8.46,0.26,414668,1
jiangxincode/SearchEngine,hbepoch,3.24,271776,9.54,0.34,423884,2,9.25,0.30,428112,2,9.36,0.35,425384,2
dubasdey/portable-ftp-server,wcp,5.40,236544,6.58,0.28,650452,2,6.56,0.26,642096,2,6.48,0.29,654384,2
dubasdey/portable-ftp-server,hbepoch,5.35,236544,6.63,0.26,632872,2,6.35,0.57,635304,2,6.44,0.24,635928,2
dubasdey/portable-ftp-server,shb,5.14,270292,7.04,0.23,652096,2,7.45,0.21,692928,2,5.99,0.22,670028,2
dubasdey/portable-ftp-server,lockset,5.21,269892,7.12,0.24,651588,8,7.02,0.23,668828,8,7.11,0.21,674668,8
dubasdey/portable-ftp-server,hb,5.14,268796,7.26,0.24,648188,2,6.90,0.23,668652,2,7.42,0.23,681820,2
sdorra/ldap-unit,hb,18.16,354524,44.54,4.17,708356,4,44.69,4.10,706340,4,42.51,4.20,729544,4
dubasdey/portable-ftp-server,shbepoch,5.19,271156,9.64,0.34,682072,2,9.20,0.30,681292,2,9.23,0.27,702388,2
dubasdey/portable-ftp-server,fhb,5.08,272272,15.00,0.70,427800,2,15.21,0.46,436556,2,14.64,0.43,430344,2
sdorra/ldap-unit,fhb,18.18,335400,51.85,4.61,1643388,4,50.56,4.07,1409232,4,51.18,4.51,1749272,4
kurbatov/firmata4j,syncp,18.09,270028,FAIL,,,,FAIL,,,,FAIL,,,
javadelight/delight-fileupload,shb,9.22,449052,7.81,0.26,691052,0,7.73,0.28,658040,0,7.85,0.26,670112,0
javadelight/delight-fileupload,fhb,9.19,412024,8.31,0.34,651320,0,8.25,0.34,657452,0,8.05,0.35,643268,0
javadelight/delight-fileupload,shbepoch,9.29,420864,8.66,0.34,654336,0,8.12,0.33,657412,0,8.47,0.34,642284,0
vbauer/herald,lockset,17.98,354152,FAIL,,,,FAIL,,,,FAIL,,,
javadelight/delight-fileupload,goldilocks,9.54,445080,12.69,0.43,659744,0,12.74,0.50,669124,0,13.05,0.69,671452,0
javadelight/delight-fileupload,hbepoch,9.40,455136,13.34,0.86,658936,0,13.04,0.40,688204,0,13.70,0.54,669932,0
javadelight/delight-fileupload,wcp,9.54,441212,14.04,0.51,676204,0,13.89,0.47,660908,0,15.01,0.43,674468,0
javadelight/delight-fileupload,lockset,9.36,417000,7.98,0.30,638992,0,7.92,0.30,666652,0,7.95,0.28,632524,0
sdorra/ldap-unit,shbepoch,18.19,339928,78.63,5.57,702792,4,78.36,5.89,730920,4,81.03,6.12,731704,4
sdorra/ldap-unit,hbepoch,18.21,337912,81.66,5.66,700572,4,80.89,5.91,718724,4,85.05,5.67,722444,4
j-easy/easy-flows,lockset,18.84,276672,41.63,2.86,3917316,1,40.40,2.92,3934992,1,41.44,3.02,4052656,1
j-easy/easy-flows,shb,18.78,309880,42.20,2.83,5059800,1,41.14,2.83,4999816,1,41.22,2.90,4840708,1
sdorra/ldap-unit,shb,18.17,334852,78.45,5.52,739864,4,78.82,5.75,730952,4,79.89,6.46,732400,4
Skullabs/powerlib,shb,14.03,236544,FAIL,,,,FAIL,,,,FAIL,,,
Skullabs/powerlib,lockset,14.12,275512,FAIL,,,,FAIL,,,,FAIL,,,
Skullabs/powerlib,hb,13.84,270944,FAIL,,,,FAIL,,,,FAIL,,,
Skullabs/powerlib,goldilocks,11.96,267964,FAIL,,,,FAIL,,,,FAIL,,,
jclawson/jackson-dataformat-hocon,lockset,12.03,244852,26.49,1.89,2088004,5,25.79,1.69,2042088,3,26.23,2.69,2437756,5
Skullabs/powerlib,fhb,13.81,264328,FAIL,,,,FAIL,,,,FAIL,,,
Skullabs/powerlib,hbepoch,14.06,277220,FAIL,,,,FAIL,,,,FAIL,,,
Skullabs/powerlib,shbepoch,13.98,269724,FAIL,,,,FAIL,,,,FAIL,,,
Skullabs/powerlib,syncp,6.99,285356,FAIL,,,,FAIL,,,,FAIL,,,
jclawson/jackson-dataformat-hocon,shbepoch,15.05,243048,33.26,2.33,3837468,3,34.52,3.18,2269976,3,47.73,2.38,3838164,3
tv2norge-collab/java-serf-client,hbepoch,6.81,271892,FAIL,,,,FAIL,,,,FAIL,,,
tv2norge-collab/java-serf-client,shb,6.58,275180,FAIL,,,,FAIL,,,,FAIL,,,
tv2norge-collab/java-serf-client,shbepoch,9.98,253336,FAIL,,,,FAIL,,,,FAIL,,,
tv2norge-collab/java-serf-client,hb,8.94,255584,FAIL,,,,FAIL,,,,FAIL,,,
Skullabs/powerlib,wcp,10.19,287508,FAIL,,,,FAIL,,,,FAIL,,,
tv2norge-collab/java-serf-client,fhb,5.57,261232,FAIL,,,,FAIL,,,,FAIL,,,
jclawson/jackson-dataformat-hocon,hb,15.07,254704,42.68,2.04,2030408,5,40.39,3.07,2051640,5,44.73,2.13,1997456,5
tv2norge-collab/java-serf-client,lockset,5.09,268012,FAIL,,,,FAIL,,,,FAIL,,,
tv2norge-collab/java-serf-client,goldilocks,5.88,263976,FAIL,,,,FAIL,,,,FAIL,,,
j-easy/easy-flows,hb,18.80,254976,69.31,4.76,3555828,1,70.49,4.79,3809592,1,69.70,4.98,3951112,1
tv2norge-collab/java-serf-client,syncp,5.87,255636,FAIL,,,,FAIL,,,,FAIL,,,
jclawson/jackson-dataformat-hocon,goldilocks,2.38,224256,44.36,3.45,2211576,5,44.99,4.14,2307072,5,53.50,3.46,2188080,5
j-easy/easy-flows,hbepoch,18.84,248832,71.19,4.85,3992492,1,77.46,6.66,3272648,1,FAIL,,,
jclawson/jackson-dataformat-hocon,fhb,14.99,251332,44.88,3.96,2025152,3,44.79,4.25,2253100,3,52.60,3.95,1987168,3
tv2norge-collab/java-serf-client,wcp,3.52,266476,FAIL,,,,FAIL,,,,FAIL,,,
sdorra/ldap-unit,wcp,18.13,343336,101.02,4.00,21520852,5,127.48,4.03,18677992,6,131.48,4.03,20484428,6
j-easy/easy-flows,shbepoch,18.82,284500,80.16,7.57,3863364,1,77.61,8.53,3172964,1,85.83,8.47,3901608,1
jclawson/jackson-dataformat-hocon,wcp,2.38,261980,60.45,2.37,7351192,5,60.41,2.57,6761728,5,63.28,3.00,7725156,5
MountCloud/ffmpeg-operate,syncp,3.04,239624,151.72,0.33,12930760,4,149.39,0.47,12925544,4,165.93,0.61,13619580,4
sdorra/ldap-unit,goldilocks,18.09,348304,137.26,5.53,2902976,4,142.77,5.44,2846620,4,142.75,5.58,2908408,4
j-easy/easy-flows,fhb,18.87,296044,103.81,7.85,4855028,1,102.53,7.69,4502108,1,100.69,9.32,4816692,1
