RV-Predict,failures: 32,,,,,,,,,,,,,,,,,
repo,instrumentation,event_logging,window_const,candidate_gen,smt_solving,reporting,project,other,blocking,sum,instrumentation,event_logging,window_const,candidate_gen,smt_solving,reporting,project,other
timroes/aXMLRPC,1681,197494,163,530,885,6,15300,78,90666,216137,0.80%,91.40%,0.10%,0.20%,0.40%,0.00%,7.10%,0.00%
PhantomThief/thrift-pool-client,211,450,3,2,6,3,60,0,4752,735,28.70%,61.20%,0.40%,0.30%,0.80%,0.40%,8.20%,0.00%
basdijkstra/tau-rest-assured,1086,340610,413,918,1123,5,3430,31,71101,347616,0.30%,98.00%,0.10%,0.30%,0.30%,0.00%,1.00%,0.00%
laforge49/JASocket,301,2636,12,21,65,0,10935,28,18227,13998,2.20%,18.80%,0.10%,0.20%,0.50%,0.00%,78.10%,0.20%
hackingwu/Java-Promise,102,22,1,1,1,1,4,1,1613,133,76.70%,16.50%,0.80%,0.80%,0.80%,0.80%,3.00%,0.80%
pf4j/pf4j-update,167,3693,6,7,11,3,445,5,1201,4337,3.90%,85.20%,0.10%,0.20%,0.30%,0.10%,10.30%,0.10%
kevinsawicki/etag-cache,285,1772,4,14,19,1,874,9,1273,2978,9.60%,59.50%,0.10%,0.50%,0.60%,0.00%,29.30%,0.30%
xebia-france/xebia-servlet-extras,398,2744,35,49,55,33,1676,2,1920,4992,8.00%,55.00%,0.70%,1.00%,1.10%,0.70%,33.60%,0.00%
taksan/skype-java-api,206,744,3,0,12,10,89,18,18467,1082,19.00%,68.80%,0.30%,0.00%,1.10%,0.90%,8.20%,1.70%
twilio/authy-java,605,119973,274,412,6978,25,59219,195,72168,187681,0.30%,63.90%,0.10%,0.20%,3.70%,0.00%,31.60%,0.10%
seaswalker/netty-wheel,150,135,0,2,1,5,7414,1,10996,7708,1.90%,1.80%,0.00%,0.00%,0.00%,0.10%,96.20%,0.00%
m-czernek/acrobot,2372,271946,312,452,1268,15,1614,116,1054539,278095,0.90%,97.80%,0.10%,0.20%,0.50%,0.00%,0.60%,0.00%
jalpedersen/jetty-hazelcast,566,25522,38,41,98,4,198,750,243930,27217,2.10%,93.80%,0.10%,0.20%,0.40%,0.00%,0.70%,2.80%
kristofa/mock-http-server,306,71478,43,624,800,10,2220,38,128015,75519,0.40%,94.60%,0.10%,0.80%,1.10%,0.00%,2.90%,0.10%
gturri/aXMLRPC,1236,180749,101,537,514,7,12539,80,72028,195763,0.60%,92.30%,0.10%,0.30%,0.30%,0.00%,6.40%,0.00%
520github/fw-perf-test,131,275106,423,492,2783,247,580,201,2220738,279963,0.00%,98.30%,0.20%,0.20%,1.00%,0.10%,0.20%,0.10%
kabutz/striped-executor-service,181,3314,128,46,397,2,1589,182,122142,5839,3.10%,56.80%,2.20%,0.80%,6.80%,0.00%,27.20%,3.10%
VaughnVernon/mockroservices-java,103,840,2,3,4,9,110,0,2730,1071,9.60%,78.40%,0.20%,0.30%,0.40%,0.80%,10.30%,0.00%
RuntimeTools/javametrics,155,375,5,1,11,9,76,1,23389,633,24.50%,59.20%,0.80%,0.20%,1.70%,1.40%,12.00%,0.20%
yangfuhai/jboot,1569,105872,120,172,246,1,4645,60,1234,112685,1.40%,94.00%,0.10%,0.20%,0.20%,0.00%,4.10%,0.10%
mlieshoff/jcrapi,473,1802965,1240,3634,15560,269,71193,190,2690066,1895524,0.00%,95.10%,0.10%,0.20%,0.80%,0.00%,3.80%,0.00%
Terracotta-OSS/ipc-eventbus,153,466,2,2,17,1,10253,3,9594,10897,1.40%,4.30%,0.00%,0.00%,0.20%,0.00%,94.10%,0.00%
vidstige/jadb,268,5220,17,17,20,2,514,2,20,6060,4.40%,86.10%,0.30%,0.30%,0.30%,0.00%,8.50%,0.00%
fleipold/jproc,85,39440,234,486,1351,5,3863,0,4708,45464,0.20%,86.70%,0.50%,1.10%,3.00%,0.00%,8.50%,0.00%
sahan/ZombieLink,1640,443980,1122,2554,17785,596,232804,320,229867,700801,0.20%,63.40%,0.20%,0.40%,2.50%,0.10%,33.20%,0.00%
sndyuk/logback-more-appenders,1197,13065,77,61,103,4,478,18,103843,15003,8.00%,87.10%,0.50%,0.40%,0.70%,0.00%,3.20%,0.10%
ccidral/tomighty,627,63293,350,533,393,2,240,6,8854,65444,1.00%,96.70%,0.50%,0.80%,0.60%,0.00%,0.40%,0.00%
520github/fw-parallel-task,53,20,0,0,2,0,13,0,38877,88,60.20%,22.70%,0.00%,0.00%,2.30%,0.00%,14.80%,0.00%
jalkanen/speed4j,124,135367,543,1847,487,61,197,2,1236289,138628,0.10%,97.60%,0.40%,1.30%,0.40%,0.00%,0.10%,0.00%
matthewhorridge/binaryowl,1445,95395,204,154,373,167,443,84,33688,98265,1.50%,97.10%,0.20%,0.20%,0.40%,0.20%,0.50%,0.10%
buddycloud/channel-directory,1260,123040,150,493,1325,20,471,202,1027015,126961,1.00%,96.90%,0.10%,0.40%,1.00%,0.00%,0.40%,0.20%
soot-oss/heros,780,85954,120,191,380,0,474,14,1254,87913,0.90%,97.80%,0.10%,0.20%,0.40%,0.00%,0.50%,0.00%
maestrano/maestrano-java,224,17548,16,17,27,2,428,0,5,18262,1.20%,96.10%,0.10%,0.10%,0.10%,0.00%,2.30%,0.00%
zeroturnaround/zt-process-killer,137,1044,8,6,11,1,72,4,44162,1283,10.70%,81.40%,0.60%,0.50%,0.90%,0.10%,5.60%,0.30%
Sable/heros,279,24015,37,53,108,0,165,4,323,24661,1.10%,97.40%,0.20%,0.20%,0.40%,0.00%,0.70%,0.00%
elisarver/selophane,482,240045,195,458,739,70,174,3109,466556,245272,0.20%,97.90%,0.10%,0.20%,0.30%,0.00%,0.10%,1.30%
blackdoor/blackdoor,67,328,2,1,3,7,76,0,25,484,13.80%,67.80%,0.40%,0.20%,0.60%,1.40%,15.70%,0.00%
gilbutITbook/006955,517,185,0,6,3,1,31,11,12742,754,68.60%,24.50%,0.00%,0.80%,0.40%,0.10%,4.10%,1.50%
graylog-labs/log4j2-gelf,529,12621,13,20,25,0,132,24,9035,13364,4.00%,94.40%,0.10%,0.10%,0.20%,0.00%,1.00%,0.20%
zhanyeye/DesSim,955,10194,33,28,70,8,401,7,18703,11696,8.20%,87.20%,0.30%,0.20%,0.60%,0.10%,3.40%,0.10%
anomalizer/tungsten-fsm,204,769,5,1,4,1,22,3,1429,1009,20.20%,76.20%,0.50%,0.10%,0.40%,0.10%,2.20%,0.30%
salyh/javamail-mock2,203,10885,7,10,18,0,101,0,1006,11224,1.80%,97.00%,0.10%,0.10%,0.20%,0.00%,0.90%,0.00%
jasminb/jsonapi-converter,1477,180611,494,545,845,0,1349,22960,381123,208281,0.70%,86.70%,0.20%,0.30%,0.40%,0.00%,0.60%,11.00%
brutusin/commons,118,506,6,2,7,13,102,16,6155,770,15.30%,65.70%,0.80%,0.30%,0.90%,1.70%,13.20%,2.10%
ihaolin/wechat,111,26,0,0,2,2,9,2,1392,152,73.00%,17.10%,0.00%,0.00%,1.30%,1.30%,5.90%,1.30%
bingoohuang/logback-more-appenders,267,17258,41,19,62,4,166,60,88426,17877,1.50%,96.50%,0.20%,0.10%,0.30%,0.00%,0.90%,0.30%
agapsys/embedded-servlet-container,369,82200,54,172,172,7,800,19,85203,83793,0.40%,98.10%,0.10%,0.20%,0.20%,0.00%,1.00%,0.00%
named-data/jndn,259,2482903,1177,1876,4917,6,292,0,4178,2491430,0.00%,99.70%,0.00%,0.10%,0.20%,0.00%,0.00%,0.00%
rovats/java-utils,90,25,0,0,0,0,7,0,36,122,73.80%,20.50%,0.00%,0.00%,0.00%,0.00%,5.70%,0.00%
spotify/async-datastore-client,556,19447,443,82,17,3,212,51,18487,20811,2.70%,93.40%,2.10%,0.40%,0.10%,0.00%,1.00%,0.20%
ModeShape/modeshape-examples,3710,66849,112,148,105,6,1647,116,44524,72693,5.10%,92.00%,0.20%,0.20%,0.10%,0.00%,2.30%,0.20%
rjo1970/dumbster,149,4552,5,5,22,1,6045,0,406,10779,1.40%,42.20%,0.00%,0.00%,0.20%,0.00%,56.10%,0.00%
MountCloud/ffmpeg-operate,126,270,1,0,4,3,70,0,887,474,26.60%,57.00%,0.20%,0.00%,0.80%,0.60%,14.80%,0.00%
probedock/probedock-demo-junit,228,23060,10,25,32,2,0,39,11366,23396,1.00%,98.60%,0.00%,0.10%,0.10%,0.00%,0.00%,0.20%
kurbatov/firmata4j,345,54,1,1,3,1,31,1,525,437,78.90%,12.40%,0.20%,0.20%,0.70%,0.20%,7.10%,0.20%
opentracing-contrib/java-concurrent,72,101,0,1,4,0,13,1,2319,192,37.50%,52.60%,0.00%,0.50%,2.10%,0.00%,6.80%,0.50%
Bernardo-MG/repository-pattern-java,466,9072,20,26,38,3,5,46,3027,9676,4.80%,93.80%,0.20%,0.30%,0.40%,0.00%,0.10%,0.50%
javacamp2022/pizza-lab,1357,67731,107,195,214,2,7065,29,46607,76700,1.80%,88.30%,0.10%,0.30%,0.30%,0.00%,9.20%,0.00%
jiangxincode/SearchEngine,172,36,0,0,1,0,25,0,77,234,73.50%,15.40%,0.00%,0.00%,0.40%,0.00%,10.70%,0.00%
spring-projects/spring-analytics,2806,530563,627,4405,2500,0,647,520,105269,542068,0.50%,97.90%,0.10%,0.80%,0.50%,0.00%,0.10%,0.10%
rhwayfun/spring-boot-rocketmq-starter,589,40743,39,113,133,5,310,42,15589,41974,1.40%,97.10%,0.10%,0.30%,0.30%,0.00%,0.70%,0.10%
dubasdey/portable-ftp-server,372,134,0,0,6,0,68,14,63,594,62.60%,22.60%,0.00%,0.00%,1.00%,0.00%,11.40%,2.40%
jillesvangurp/spring-depend,420,33588,47,44,98,2,89,166,100322,34454,1.20%,97.50%,0.10%,0.10%,0.30%,0.00%,0.30%,0.50%
triologygmbh/reCAPTCHA-V2-java,637,55725,53,170,234,5,5752,42,6523,62618,1.00%,89.00%,0.10%,0.30%,0.40%,0.00%,9.20%,0.10%
amazon-archives/dynamodb-key-diagnostics-library,2403,590939,563,1548,2153,2,1677,137,224224,599422,0.40%,98.60%,0.10%,0.30%,0.40%,0.00%,0.30%,0.00%
Skullabs/powerlib,130,55,2,0,2,1,958,0,504,1148,11.30%,4.80%,0.20%,0.00%,0.20%,0.10%,83.40%,0.00%
javadelight/delight-fileupload,129,212,4,2,3,0,16,0,2,366,35.20%,57.90%,1.10%,0.50%,0.80%,0.00%,4.40%,0.00%
tv2norge-collab/java-serf-client,126,103,0,0,1,0,8,1,143,239,52.70%,43.10%,0.00%,0.00%,0.40%,0.00%,3.30%,0.40%
alibaba-rsocket-broker/rsocket-broker-gateway-mqtt,307,175,7,8,2,1,50,69,258,619,49.60%,28.30%,1.10%,1.30%,0.30%,0.20%,8.10%,11.10%
eddi888/camel-tinkerforge,579,9914,15,26,17,0,43,60,1529,10654,5.40%,93.10%,0.10%,0.20%,0.20%,0.00%,0.40%,0.60%
ImmobilienScout24/yum-repo-server,1564,974959,569,1953,2407,5,2917,3111,1960634,987485,0.20%,98.70%,0.10%,0.20%,0.20%,0.00%,0.30%,0.30%
gondor/kbop,256,8823,32,17,113,18,42,8,69905,9309,2.80%,94.80%,0.30%,0.20%,1.20%,0.20%,0.50%,0.10%
alexvictoor/netty-livereload,218,192,0,3,1,2,87,2,2009,505,43.20%,38.00%,0.00%,0.60%,0.20%,0.40%,17.20%,0.40%
bingo-oss/sso-client,721,614931,1709,2044,21495,28,70292,81,200364,711301,0.10%,86.50%,0.20%,0.30%,3.00%,0.00%,9.90%,0.00%
javadev/jasper-xml-to-pdf-generator,911,1388834,916,2216,4785,4,1576,53,16686,1399295,0.10%,99.30%,0.10%,0.20%,0.30%,0.00%,0.10%,0.00%
buddycloud/buddycloud-server-java,827,280626,279,682,1180,4,592,40,12085,284230,0.30%,98.70%,0.10%,0.20%,0.40%,0.00%,0.20%,0.00%
brutusin/json-provider,460,27205,731,61,524,21,235,3,1079504,29240,1.60%,93.00%,2.50%,0.20%,1.80%,0.10%,0.80%,0.00%
undera/perfmon-agent,311,1472,1,3,7,1,345,2,1181,2142,14.50%,68.70%,0.00%,0.10%,0.30%,0.00%,16.10%,0.10%
jclawson/jackson-dataformat-hocon,163,1798,1,3,9,1,49,1,1464,2025,8.00%,88.80%,0.00%,0.10%,0.40%,0.00%,2.40%,0.00%
soulgalore/jdbcmetrics,676,177308,296,595,593,1,411,6,871545,179886,0.40%,98.60%,0.20%,0.30%,0.30%,0.00%,0.20%,0.00%
NetsOSS/embedded-jetty,396,7164,10,31,52,0,583,3,1855,8239,4.80%,87.00%,0.10%,0.40%,0.60%,0.00%,7.10%,0.00%
mdewilde/podcast-parser,622,778434,1571,958,2493,6586,3561,582,1482780,794807,0.10%,97.90%,0.20%,0.10%,0.30%,0.80%,0.40%,0.10%
dadiyang/wechat-client,841,69171,94,396,1002,4,5640,91,15714,77239,1.10%,89.60%,0.10%,0.50%,1.30%,0.00%,7.30%,0.10%
liuziyuan/retrofit-spring-boot-starter,3040,890653,713,2628,2439,3,397,541,20798,900414,0.30%,98.90%,0.10%,0.30%,0.30%,0.00%,0.00%,0.10%
Bernardo-MG/java-patterns,530,17445,28,57,45,0,209,27,58137,18341,2.90%,95.10%,0.20%,0.30%,0.20%,0.00%,1.10%,0.10%
SonarSource/sonar-auth-bitbucket,662,18696,26,39,50,1,748,13048,720,33270,2.00%,56.20%,0.10%,0.10%,0.20%,0.00%,2.20%,39.20%
tomekl007/manning_software_mistakes_and_tradeoffs,2907,151009,204,189,227,0,1100,41,330060,155677,1.90%,97.00%,0.10%,0.10%,0.10%,0.00%,0.70%,0.00%
bingoohuang/westid,423,533795,446,282,1301,7,340,345,512510,536939,0.10%,99.40%,0.10%,0.10%,0.20%,0.00%,0.10%,0.10%
monkeymq/jgossip,470,4366,8,11,13,2,217,0,3449,5087,9.20%,85.80%,0.20%,0.20%,0.30%,0.00%,4.30%,0.00%
alb-i986/selenium-tinafw,1191,59718,27,97,123,4,468,17,7207,61645,1.90%,96.90%,0.00%,0.20%,0.20%,0.00%,0.80%,0.00%
chyxion/table-to-xls,1080,303907,507,583,661,45,889,131,303648,307803,0.40%,98.70%,0.20%,0.20%,0.20%,0.00%,0.30%,0.00%
pascalgn/jiracli,708,304250,377,594,1472,0,1200,51,2978,308652,0.20%,98.60%,0.10%,0.20%,0.50%,0.00%,0.40%,0.00%
wakaleo/maven-schemaspy-plugin,1314,559227,482,1303,1398,2,4606,922,1390218,569254,0.20%,98.20%,0.10%,0.20%,0.20%,0.00%,0.80%,0.20%
ctapweb/AutoSubClause,714,728730,597,2602,3311,78,325,511,1459359,736868,0.10%,98.90%,0.10%,0.40%,0.40%,0.00%,0.00%,0.10%
couchbaselabs/couchbase-capi-server,885,149264,109,459,1373,7,17639,154,207983,169890,0.50%,87.90%,0.10%,0.30%,0.80%,0.00%,10.40%,0.10%
cilogi/gaeshiro,1767,9417,23,39,38,12,360,67,35363,11723,15.10%,80.30%,0.20%,0.30%,0.30%,0.10%,3.10%,0.60%
castagna/SARQ,915,322800,301,293,864,13,1260,64,362455,326510,0.30%,98.90%,0.10%,0.10%,0.30%,0.00%,0.40%,0.00%
sylvainlaurent/swagger-validator-maven-plugin,1632,691497,836,1503,1678,13,1878,128,4318535,699165,0.20%,98.90%,0.10%,0.20%,0.20%,0.00%,0.30%,0.00%
syphr42/prom,413,1949,10,13,19,2,105,2,1541,2513,16.40%,77.60%,0.40%,0.50%,0.80%,0.10%,4.20%,0.10%
softlayer/softlayer-java,665,31397,28,49,47,1,326,8,14646,32521,2.00%,96.50%,0.10%,0.20%,0.10%,0.00%,1.00%,0.00%
ashenwgt/awesome-bdd-with-cucumber,300,18783,38,17,51,1,1,207,18704,19398,1.50%,96.80%,0.20%,0.10%,0.30%,0.00%,0.00%,1.10%
spotify/hadoop-openpgp-codec,423,97927,45,79,198,1,73,10,89956,98756,0.40%,99.20%,0.00%,0.10%,0.20%,0.00%,0.10%,0.00%
InfoSec812/sonar-auth-google,384,29875,31,54,48,3,395,21195,664,51985,0.70%,57.50%,0.10%,0.10%,0.10%,0.00%,0.80%,40.80%
magdel/MapNav,263,215532,7218,224,397,2,112,28,212801,223776,0.10%,96.30%,3.20%,0.10%,0.20%,0.00%,0.10%,0.00%
99soft/guartz,504,28439,46,37,90,13,166,35,117908,29330,1.70%,97.00%,0.20%,0.10%,0.30%,0.00%,0.60%,0.10%
amzn/amazon-instant-access-sdk-java,1672,138943,243,321,640,7,5554,19,19548,147399,1.10%,94.30%,0.20%,0.20%,0.40%,0.00%,3.80%,0.00%
dropwizard-bundles/dropwizard-configurable-assets-bundle,2125,74630,155,136,827,1,829,44,85485,78747,2.70%,94.80%,0.20%,0.20%,1.10%,0.00%,1.10%,0.10%
Ardesco/driver-binary-downloader-maven-plugin,2130,315397,247,803,1272,13,4058,36,264480,323956,0.70%,97.40%,0.10%,0.20%,0.40%,0.00%,1.30%,0.00%
uniform-java/uniform,140,56564,25,80,156,1,326,6,134,57298,0.20%,98.70%,0.00%,0.10%,0.30%,0.00%,0.60%,0.00%
tinkerpop/furnace,134,14837,23,188,957,12,164,6,6214,16321,0.80%,90.90%,0.10%,1.20%,5.90%,0.10%,1.00%,0.00%
avarabyeu/restendpoint,1408,125176,154,414,585,8,671,119680,345325,248096,0.60%,50.50%,0.10%,0.20%,0.20%,0.00%,0.30%,48.20%
Mercateo/rest-hateoas-client,557,293920,243,394,848,3,237,43,49816,296245,0.20%,99.20%,0.10%,0.10%,0.30%,0.00%,0.10%,0.00%
jboss/jboss-jstl-api_spec,447,96617,36,216,222,10,231,2,1871,97781,0.50%,98.80%,0.00%,0.20%,0.20%,0.00%,0.20%,0.00%
jbarrez/activiti-neo4j,502,49691,63,73,291,1,354,573,94743,51548,1.00%,96.40%,0.10%,0.10%,0.60%,0.00%,0.70%,1.10%
pebbleblog/pebble,3390,286085,1360,668,594,5,4827,50,301473,296979,1.10%,96.30%,0.50%,0.20%,0.20%,0.00%,1.60%,0.00%
proofpoint/cloud-management,1339,392710,305,846,2240,3,18661,1643,4073547,417747,0.30%,94.00%,0.10%,0.20%,0.50%,0.00%,4.50%,0.40%
wouterd/docker-maven-plugin,417,323017,200,436,801,2,262,48,5800,325183,0.10%,99.30%,0.10%,0.10%,0.20%,0.00%,0.10%,0.00%
davidmoten/rxjava-jdbc,1342,488779,1354,2232,4636,5,4219,139,4436250,502706,0.30%,97.20%,0.30%,0.40%,0.90%,0.00%,0.80%,0.00%
purecloudlabs/elasticsearch-lambda,527,5094,24,33,50,13,167,24,36737,5932,8.90%,85.90%,0.40%,0.60%,0.80%,0.20%,2.80%,0.40%
offbynull/portmapper,160,4800,54,4,12,1,500,2,1045,5533,2.90%,86.80%,1.00%,0.10%,0.20%,0.00%,9.00%,0.00%
Azure-Samples/cassandra-proxy,185,4444,9,17,16,3,83,1,1325,4758,3.90%,93.40%,0.20%,0.40%,0.30%,0.10%,1.70%,0.00%
zman2013/scuttlebutt,445,5399,9,8,6,1,123,2,82,5993,7.40%,90.10%,0.20%,0.10%,0.10%,0.00%,2.10%,0.00%
sdorra/ldap-unit,164,4662,4,16,17,0,46,0,492,4909,3.30%,95.00%,0.10%,0.30%,0.30%,0.00%,0.90%,0.00%
j-easy/easy-flows,245,4088,10,9,11,1,92,1,12,4457,5.50%,91.70%,0.20%,0.20%,0.20%,0.00%,2.10%,0.00%
arquillian/arquillian-container-openshift,311,9654,13,40,21,0,50,4,356,10093,3.10%,95.70%,0.10%,0.40%,0.20%,0.00%,0.50%,0.00%
imagej/example-script-collection,1379,12811,39,34,34,0,0,129,12541,14426,9.60%,88.80%,0.30%,0.20%,0.20%,0.00%,0.00%,0.90%
ronmamo/reflections,172,37064,34,65,52,0,139,6,6056,37532,0.50%,98.80%,0.10%,0.20%,0.10%,0.00%,0.40%,0.00%
vbauer/herald,317,23437,33,66,67,1,218,4,477,24143,1.30%,97.10%,0.10%,0.30%,0.30%,0.00%,0.90%,0.00%
uia4j/uia-sim,316,11647,68,51,441,21,329,2,67938,12875,2.50%,90.50%,0.50%,0.40%,3.40%,0.20%,2.60%,0.00%
spotify/trickle,241,27915,28,28,51,0,63,17,58,28343,0.90%,98.50%,0.10%,0.10%,0.20%,0.00%,0.20%,0.10%
davidmoten/rxjava-file,257,14866,8,102,199,3,73,18,12243,15526,1.70%,95.70%,0.10%,0.70%,1.30%,0.00%,0.50%,0.10%
neo4j/license-maven-plugin,98,18856,30,52,323,4,96,21,4929,19480,0.50%,96.80%,0.20%,0.30%,1.70%,0.00%,0.50%,0.10%
GoogleCloudPlatform/appengine-angular-guestbook-java,301,15712,23,47,58,1,141,17,1863,16300,1.80%,96.40%,0.10%,0.30%,0.40%,0.00%,0.90%,0.10%
gwtplus/google-gin,0,0,0,0,0,0,1319566,0,0,1319566,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
majusko/grpc-jwt-spring-boot-starter,697,57056,106,144,202,0,122,141,34805,58468,1.20%,97.60%,0.20%,0.20%,0.30%,0.00%,0.20%,0.20%
square/javawriter,0,0,0,0,0,0,2588671,0,0,2588671,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
apache/dubbo-rpc-jsonrpc,222,16273,20,33,94,2,415,1,425185,17060,1.30%,95.40%,0.10%,0.20%,0.60%,0.00%,2.40%,0.00%
mariofusco/lambdaj,186,862500,585,2458,3157,4717,1204,41,15811,874848,0.00%,98.60%,0.10%,0.30%,0.40%,0.50%,0.10%,0.00%
kevinsawicki/http-request,359,142196,71,170,325,6,55107,180,315839,198414,0.20%,71.70%,0.00%,0.10%,0.20%,0.00%,27.80%,0.10%
opencharles/charles-rest,479,73395,210,329,605,0,885,6,125361,75909,0.60%,96.70%,0.30%,0.40%,0.80%,0.00%,1.20%,0.00%
proofpoint/event-collector,974,381124,1387,2038,13573,10,2743,1914,4521413,403763,0.20%,94.40%,0.30%,0.50%,3.40%,0.00%,0.70%,0.50%
dsmiley/SOLR-2155,385,611724,1069,1625,2391,1,1229,64,594946,618488,0.10%,98.90%,0.20%,0.30%,0.40%,0.00%,0.20%,0.00%
,,,,,,,,,,Average,8.70%,80.40%,0.30%,0.30%,0.70%,0.10%,8.30%,1.20%
,,,,,,,,,,,,,,,,,,
HBEPOCH,failures: 62,,,,,,,,,,,,,,,,,
repo,instrumentation,event_logging,event_filtering,preprocessing,algorithm,reporting,project,other,blocking,sum,instrumentation,event_logging,event_filtering,preprocessing,algorithm,reporting,project,other
tguzik/m2u,442,10330,9,11,37,48,211,2,30294,11090,4.00%,93.10%,0.10%,0.10%,0.30%,0.40%,1.90%,0.00%
Cue/greplin-zookeeper-utils,600,17558,65,83,335,39,250,60,209147,18990,3.20%,92.50%,0.30%,0.40%,1.80%,0.20%,1.30%,0.30%
laforge49/JFile,291,13146,75,40,158,5,174,111,129684,14000,2.10%,93.90%,0.50%,0.30%,1.10%,0.00%,1.20%,0.80%
rbuck/java-retry,88,87,2,0,1,2,40,1,10040,221,39.80%,39.40%,0.90%,0.00%,0.50%,0.90%,18.10%,0.50%
mikebrock/jboss-websockets,98,6564,4,2,23,16,17,23,32683,6747,1.50%,97.30%,0.10%,0.00%,0.30%,0.20%,0.30%,0.30%
rpuch/xremoting,600,52176,472,123,384,31,6501,4,28648,60291,1.00%,86.50%,0.80%,0.20%,0.60%,0.10%,10.80%,0.00%
timroes/aXMLRPC,1689,193303,184,486,628,3,14379,72,80844,210744,0.80%,91.70%,0.10%,0.20%,0.30%,0.00%,6.80%,0.00%
PhantomThief/thrift-pool-client,227,858,15,3,14,8,74,11,9013,1210,18.80%,70.90%,1.20%,0.20%,1.20%,0.70%,6.10%,0.90%
basdijkstra/tau-rest-assured,1080,344017,345,797,850,7,4275,98,73246,351469,0.30%,97.90%,0.10%,0.20%,0.20%,0.00%,1.20%,0.00%
laforge49/JASocket,291,2768,70,9,46,1,12786,17,17825,15988,1.80%,17.30%,0.40%,0.10%,0.30%,0.00%,80.00%,0.10%
hackingwu/Java-Promise,88,25,0,0,1,2,6,1,1615,123,71.50%,20.30%,0.00%,0.00%,0.80%,1.60%,4.90%,0.80%
pf4j/pf4j-update,159,3703,1,9,16,1,554,7,1703,4450,3.60%,83.20%,0.00%,0.20%,0.40%,0.00%,12.40%,0.20%
kevinsawicki/etag-cache,312,1953,6,5,13,0,874,5,1556,3168,9.80%,61.60%,0.20%,0.20%,0.40%,0.00%,27.60%,0.20%
xebia-france/xebia-servlet-extras,436,2895,46,15,27,18,1733,4,2037,5174,8.40%,56.00%,0.90%,0.30%,0.50%,0.30%,33.50%,0.10%
taksan/skype-java-api,191,925,5,6,9,7,77,24,17895,1244,15.40%,74.40%,0.40%,0.50%,0.70%,0.60%,6.20%,1.90%
twilio/authy-java,626,128504,966,441,4527,17,64138,252,81066,199471,0.30%,64.40%,0.50%,0.20%,2.30%,0.00%,32.20%,0.10%
seaswalker/netty-wheel,171,135,0,0,0,0,7412,1,11001,7719,2.20%,1.70%,0.00%,0.00%,0.00%,0.00%,96.00%,0.00%
m-czernek/acrobot,2326,159627,237,302,682,14,1415,49,626825,164652,1.40%,96.90%,0.10%,0.20%,0.40%,0.00%,0.90%,0.00%
jalpedersen/jetty-hazelcast,574,29589,37,47,108,25,217,3381,320709,33978,1.70%,87.10%,0.10%,0.10%,0.30%,0.10%,0.60%,10.00%
kristofa/mock-http-server,339,72376,63,133,256,14,2249,29,124322,75459,0.40%,95.90%,0.10%,0.20%,0.30%,0.00%,3.00%,0.00%
gturri/aXMLRPC,1272,181905,110,369,457,4,12746,51,72612,196914,0.60%,92.40%,0.10%,0.20%,0.20%,0.00%,6.50%,0.00%
520github/fw-perf-test,183,274677,796,758,1523,237,627,255,2190535,279056,0.10%,98.40%,0.30%,0.30%,0.50%,0.10%,0.20%,0.10%
kabutz/striped-executor-service,159,3651,156,61,330,4,1651,209,131062,6221,2.60%,58.70%,2.50%,1.00%,5.30%,0.10%,26.50%,3.40%
VaughnVernon/mockroservices-java,109,910,1,3,6,1,124,1,3227,1155,9.40%,78.80%,0.10%,0.30%,0.50%,0.10%,10.70%,0.10%
RuntimeTools/javametrics,146,371,1,1,5,5,88,5,23355,622,23.50%,59.60%,0.20%,0.20%,0.80%,0.80%,14.10%,0.80%
yangfuhai/jboot,1560,105632,70,227,140,0,4723,53,1313,112405,1.40%,94.00%,0.10%,0.20%,0.10%,0.00%,4.20%,0.00%
mlieshoff/jcrapi,552,1822289,2299,3955,6438,93,71271,397,2810617,1907294,0.00%,95.50%,0.10%,0.20%,0.30%,0.00%,3.70%,0.00%
vidstige/jadb,270,5417,7,9,34,5,527,1,28,6270,4.30%,86.40%,0.10%,0.10%,0.50%,0.10%,8.40%,0.00%
fleipold/jproc,100,44417,236,155,1241,1,3859,1,4667,50010,0.20%,88.80%,0.50%,0.30%,2.50%,0.00%,7.70%,0.00%
sahan/ZombieLink,1662,465755,2414,2360,10851,208,231357,331,235884,714938,0.20%,65.10%,0.30%,0.30%,1.50%,0.00%,32.40%,0.00%
sndyuk/logback-more-appenders,1102,14462,48,68,167,3,371,19,121646,16240,6.80%,89.10%,0.30%,0.40%,1.00%,0.00%,2.30%,0.10%
ccidral/tomighty,617,58973,113,156,198,2,266,17,3730,60342,1.00%,97.70%,0.20%,0.30%,0.30%,0.00%,0.40%,0.00%
520github/fw-parallel-task,48,25,0,0,0,2,7,0,39008,82,58.50%,30.50%,0.00%,0.00%,0.00%,2.40%,8.50%,0.00%
jalkanen/speed4j,109,141917,425,824,1101,75,217,2,1251475,144670,0.10%,98.10%,0.30%,0.60%,0.80%,0.10%,0.10%,0.00%
matthewhorridge/binaryowl,1464,95203,281,198,254,111,452,34,26552,97997,1.50%,97.10%,0.30%,0.20%,0.30%,0.10%,0.50%,0.00%
