RV-Predict,failures: 32,,,,,,,,,,,,,,,,,
repo,instrumentation,event_logging,window_const,candidate_gen,smt_solving,reporting,project,other,blocking,sum,instrumentation,event_logging,window_const,candidate_gen,smt_solving,reporting,project,other
seaswalker/netty-wheel,150,51,0,0,239913,0,32,35,349562,240181,0.10%,0.00%,0.00%,0.00%,99.90%,0.00%,0.00%,0.00%
cogroo/cogroo4,125,895,1,0,90691,0,22,50,242581,91784,0.10%,1.00%,0.00%,0.00%,98.80%,0.00%,0.00%,0.10%
VaughnVernon/mockroservices-java,152,376,9,0,316377,0,53,49,1090995,317016,0.00%,0.10%,0.00%,0.00%,99.80%,0.00%,0.00%,0.00%
jitsi/otr4j,191,74,4,0,279277,0,39,128,1882516,279713,0.10%,0.00%,0.00%,0.00%,99.80%,0.00%,0.00%,0.00%
RuntimeTools/javametrics,138,138,1,0,9329,2,41,35,8983,9684,1.40%,1.40%,0.00%,0.00%,96.30%,0.00%,0.40%,0.40%
Terracotta-OSS/ipc-eventbus,86,17,0,0,34899,0,27,67,632489,35096,0.20%,0.00%,0.00%,0.00%,99.40%,0.00%,0.10%,0.20%
vidstige/jadb,86,80,0,0,221768,0,10802,765,28308,233501,0.00%,0.00%,0.00%,0.00%,95.00%,0.00%,4.60%,0.30%
fleipold/jproc,105,31,0,0,34661,1,8,22,541599,34828,0.30%,0.10%,0.00%,0.00%,99.50%,0.00%,0.00%,0.10%
ccidral/tomighty,170,10,1,0,24,0,2,86,21,293,58.00%,3.40%,0.30%,0.00%,8.20%,0.00%,0.70%,29.40%
520github/fw-parallel-task,69,28,0,0,1730,0,7,16,5921,1850,3.70%,1.50%,0.00%,0.00%,93.50%,0.00%,0.40%,0.90%
matthewhorridge/binaryowl,713,288,11,0,1283477,0,142,4307,2039424,1288938,0.10%,0.00%,0.00%,0.00%,99.60%,0.00%,0.00%,0.30%
blackdoor/blackdoor,72,316,0,0,86969,0,203,29,7218,87589,0.10%,0.40%,0.00%,0.00%,99.30%,0.00%,0.20%,0.00%
gilbutITbook/006955,530,44,0,0,98948,0,62,282,108472,99866,0.50%,0.00%,0.00%,0.00%,99.10%,0.00%,0.10%,0.30%
