repo,alg,base_rt,base_mem,rt1,pp1,mem1,races1,rt2,pp2,mem2,races2,rt3,pp3,mem3,races3
VaughnVernon/mockroservices-java,lockset,4.78,267646.67,19.59,1.05,700041.33,13,17.85,1.06,679613.33,13,19.04,0.95,691046.67,13
VaughnVernon/mockroservices-java,shb,4.86,264781.33,22.15,1.45,677552.00,5,18.62,0.84,693745.33,5,16.25,0.93,663481.33,5
VaughnVernon/mockroservices-java,shbepoch,4.91,264682.67,19.35,0.94,687930.67,5,17.79,1.28,689044.00,5,23.25,1.80,678797.33,5
VaughnVernon/mockroservices-java,wcp,4.57,264460.00,20.21,1.36,1993608.00,9,19.94,1.33,1993376.00,9,20.84,0.91,1982397.33,9
agapsys/embedded-servlet-container,fhb,2.63,268918.67,532.05,49.18,22317237.33,6,652.60,56.96,24214289.33,13,329.41,18.83,21356188.00,6
agapsys/embedded-servlet-container,hb,4.08,256036.00,427.62,46.47,5863424.00,115,426.49,30.73,3580697.33,124,349.61,17.63,2600804.00,124
agapsys/embedded-servlet-container,hbepoch,4.14,262976.00,196.23,15.72,10693396.00,79,425.66,30.74,3312316.00,108,206.64,16.88,7845305.33,90
agapsys/embedded-servlet-container,lockset,4.19,286564.00,214.22,17.86,10687073.33,306,409.83,23.96,3623597.33,306,244.93,18.11,10692261.33,247
agapsys/embedded-servlet-container,shb,4.09,274034.67,316.31,21.85,9239406.67,15,217.52,16.55,11490326.67,15,261.62,18.95,11470886.67,15
agapsys/embedded-servlet-container,shbepoch,3.85,263776.00,428.31,46.55,6305796.00,15,429.28,23.77,11263418.67,6,208.07,16.67,11153706.67,15
bingoohuang/westid,fhb,4.33,295146.00,,,,0,4145.00,461.22,818428.00,0,,,,1
bingoohuang/westid,hb,5.50,304248.00,,,,0,,,,0,,,,0
bingoohuang/westid,hbepoch,9.22,282761.33,3195.32,207.18,2676108.00,73,5487.18,733.61,3682360.00,78,5607.23,746.06,1482590.67,70
bingoohuang/westid,lockset,3.20,279552.00,,,,0,3870.00,402.63,1142884.00,0,,,,0
